,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Jake Elliott,PHI,1,1,,,0,0,,0
1,Arryn Siposs,PHI,,,,,3,130,43.3,46
4,Graham Gano,NYG,1,1,2,3,0,0,,0
5,Riley Dixon,NYG,,,,,5,196,39.2,46
