,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Tyler Bass,BUF,4,4,1,1,0,0,,0
1,Matt Haack,BUF,,,,,3,127,42.3,48
4,Blake Gillikin,NOR,,,,,5,235,47.0,53
