,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Christian McCaffrey,CAR,10,35,1,23,2.3,12,1.2,1,10.0
1,Cam Newton,CAR,3,5,2,4,1.3,1,0.3,1,3.0
2,Ameer Abdullah,CAR,2,4,1,4,2.0,0,0.0,0,
3,Chuba Hubbard,CAR,2,6,,2,1.0,4,2.0,0,
4,Sean Chandler,CAR,1,14,1,14,14.0,0,0.0,0,
6,Myles Gaskin,MIA,16,49,3,33,2.1,16,1.0,2,8.0
7,Phillip Lindsay,MIA,12,42,1,36,3.0,6,0.5,0,
8,Salvon Ahmed,MIA,5,17,2,17,3.4,0,0.0,0,
9,Tua Tagovailoa,MIA,4,0,1,0,0.0,0,0.0,0,
10,Durham Smythe,MIA,2,3,2,3,1.5,0,0.0,0,
