,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Jarvis Landry,CLE,10,6,111,0,5,62,10.3,49,8.2,11.1,0,,0,0.0,0,98.3
1,Harrison Bryant,CLE,3,3,50,0,1,30,10.0,20,6.7,10.0,0,,0,0.0,0,118.7
2,David Njoku,CLE,5,3,35,1,1,29,9.7,6,2.0,11.8,0,,0,0.0,0,120.8
3,Donovan Peoples-Jones,CLE,5,2,10,0,1,10,5.0,0,0.0,12.0,0,,0,0.0,0,47.9
4,Ja'Marcus Bradley,CLE,2,2,18,0,1,8,4.0,10,5.0,4.0,0,,0,0.0,0,104.2
5,Nick Chubb,CLE,4,2,23,0,1,4,2.0,19,9.5,3.8,1,2.0,0,0.0,0,67.7
6,Demetric Felton,CLE,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6
7,Austin Hooper,CLE,3,0,0,0,,0,,0,,14.7,0,,0,0.0,0,39.6
8,Kareem Hunt,CLE,1,0,0,0,0,0,,0,,-5.0,0,,0,0.0,0,39.6
10,Marquise Brown,BAL,10,8,51,0,3,28,3.5,23,2.9,6.8,0,,0,0.0,0,87.9
11,Rashod Bateman,BAL,4,4,31,0,1,25,6.3,6,1.5,6.3,0,,0,0.0,0,99.0
12,Mark Andrews,BAL,10,4,65,1,2,54,13.5,11,2.8,16.1,0,,0,0.0,4,56.2
13,Devonta Freeman,BAL,1,1,8,0,0,-1,-1.0,9,9.0,-1.0,0,,0,0.0,0,100.0
14,Devin Duvernay,BAL,2,1,2,0,0,2,2.0,0,0.0,2.5,0,,0,0.0,0,56.2
15,Patrick Ricard,BAL,2,1,0,0,,-5,-5.0,5,5.0,-2.0,0,,0,0.0,0,56.2
16,Sammy Watkins,BAL,1,1,8,0,,8,8.0,0,0.0,8.0,0,,0,0.0,0,100.0
17,Tylan Wallace,BAL,1,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6
18,Ty'Son Williams,BAL,1,0,0,0,,0,,0,,-3.0,0,,0,0.0,0,39.6
