,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,D'Wayne Eskridge,SEA,2,54,27.0,0,27,0,0,,0,0
1,DeeJay Dallas,SEA,1,27,27.0,0,27,0,0,,0,0
4,DeAndre Carter,WAS,2,43,21.5,0,31,2,8,4.0,0,8
