,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Leonard Fournette,TAM,17,100,8,53,3.1,47,2.8,1,17.0
1,Ronald Jones II,TAM,7,37,3,15,2.1,22,3.1,1,7.0
2,Tom Brady,TAM,2,2,1,2,1.0,0,0.0,0,
3,Chris Godwin,TAM,1,3,1,1,1.0,2,2.0,0,
5,Jonathan Taylor,IND,16,83,6,47,2.9,36,2.3,1,16.0
6,Carson Wentz,IND,3,21,2,15,5.0,6,2.0,2,1.5
7,Nyheim Hines,IND,1,3,0,2,2.0,1,1.0,0,
