,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Jalen Hurts,PHI,14,31,129,8,25.0,299,9.6,78,5.6,2.5,51,3.6,2,6.9%,3,10.3%,1,6,4,1,6,17.6%,2,7.0
2,Daniel Jones,NYG,19,30,202,12,38.7,157,5.2,82,4.3,2.7,120,6.3,1,3.4%,5,17.2%,1,6,2,4,7,21.2%,2,8.0
