,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Leonard Fournette,TAM,8,7,31,1,2,-6,-0.9,37,5.3,-0.4,0,,1,12.5,0,122.4
1,Rob Gronkowski,TAM,9,7,123,0,6,71,10.1,52,7.4,9.6,1,7.0,0,0.0,0,118.7
2,Chris Godwin,TAM,5,4,24,0,1,9,2.3,15,3.8,5.0,0,,0,0.0,0,86.7
3,Cameron Brate,TAM,4,3,23,0,2,10,3.3,13,4.3,4.3,0,,0,0.0,0,88.5
4,Mike Evans,TAM,6,3,16,0,,8,2.7,8,2.7,4.2,0,,0,0.0,0,56.2
5,Tyler Johnson,TAM,1,1,9,0,,5,5.0,4,4.0,5.0,0,,0,0.0,0,104.2
6,Scott Miller,TAM,1,0,0,0,,0,,0,,44.0,0,,0,0.0,1,0.0
8,Jack Doyle,IND,7,6,81,1,5,66,11.0,15,2.5,11.3,0,,0,0.0,0,154.5
9,T.Y. Hilton,IND,5,4,28,1,3,25,6.3,3,0.8,5.0,0,,0,0.0,0,129.6
10,Michael Pittman Jr.,IND,10,4,53,0,3,50,12.5,3,0.8,15.2,0,,2,20.0,2,17.9
11,Jonathan Taylor,IND,5,4,14,0,0,-7,-1.8,21,5.3,-1.0,0,,0,0.0,0,79.2
12,Nyheim Hines,IND,4,3,26,0,2,6,2.0,20,6.7,0.8,0,,0,0.0,0,91.7
13,Kylen Granson,IND,2,2,22,0,1,6,3.0,16,8.0,3.0,0,,0,0.0,0,112.5
14,Zach Pascal,IND,7,2,12,0,,8,4.0,4,2.0,8.9,0,,0,0.0,0,39.6
15,Mo Alie-Cox,IND,2,1,8,0,,8,8.0,0,0.0,19.0,0,,0,0.0,0,60.4
16,Ashton Dulin,IND,1,1,62,1,1,52,52.0,10,10.0,52.0,0,,0,0.0,0,158.3
