,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Ryan Succop,TAM,5,5,1,1,0,0,,0
1,Bradley Pinion,TAM,,,,,4,164,41.0,55
4,Michael Badgley,IND,4,4,1,1,0,0,,0
5,Rigoberto Sanchez,IND,,,,,3,134,44.7,47
