,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Cairo Santos,CHI,1,1,3,4,0,0,,0
1,Pat O'Donnell,CHI,,,,,4,183,45.8,51
4,Riley Patterson,DET,2,2,,,0,0,,0
5,Jack Fox,DET,,,,,6,300,50.0,70
