,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Josh Allen,BUF,23,28,260,11,36.7,167,6.0,147,6.4,5.3,113,4.9,0,0.0%,0,0.0%,2,5,4,1,7,20.6%,4,6.3
2,Trevor Siemian,NOR,17,29,163,7,22.6,169,5.8,71,4.2,2.4,92,5.4,1,3.7%,6,22.2%,2,5,3,3,8,25.0%,1,2.0
3,Blake Gillikin,NOR,0,1,0,,,9,9.0,0,,0.0,0,,0,0.0%,1,100.0%,0,1,0,0,0,0.0%,0,
