,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Avery Williams,ATL,4,91,22.8,0,26,1,3,3.0,0,3
3,Jaydon Mickens,JAX,3,74,24.7,0,29,2,29,14.5,0,18
