,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Ben Roethlisberger,PIT,24,41,263,15,34.1,296,7.2,167,7.0,4.1,96,4.0,3,7.5%,8,20.0%,3,5,0,4,7,15.9%,0,
2,Joe Burrow,CIN,20,24,190,11,42.3,176,7.3,98,4.9,4.1,92,4.6,0,0.0%,2,8.7%,2,9,1,1,4,14.8%,1,8.0
3,Brandon Allen,CIN,0,1,0,,,6,6.0,0,,0.0,0,,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,
