,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Chase McLaughlin,CLE,1,1,1,2,0,0,,0
1,Jamie Gillan,CLE,,,,,6,261,43.5,52
4,Justin Tucker,BAL,1,1,3,3,0,0,,0
5,Sam Koch,BAL,,,,,3,136,45.3,53
