,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Dustin Hopkins,LAC,3,4,2,2,0,0,,0
1,Ty Long,LAC,,,,,4,169,42.3,49
4,Evan McPherson,CIN,1,2,1,1,0,0,,0
5,Kevin Huber,CIN,,,,,4,180,45.0,50
