,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Rhamondre Stevenson,NWE,24,78,5,19,0.8,59,2.5,7,3.4
1,Damien Harris,NWE,10,111,3,35,3.5,76,7.6,0,
2,Mac Jones,NWE,5,-3,1,-7,-1.4,4,0.8,0,
3,Brandon Bolden,NWE,4,28,1,12,3.0,16,4.0,0,
4,Nelson Agholor,NWE,1,6,,1,1.0,5,5.0,1,1.0
5,Kendrick Bourne,NWE,1,3,,0,0.0,3,3.0,0,
6,Jonnu Smith,NWE,1,-1,0,-1,-1.0,0,0.0,0,
8,Devin Singletary,BUF,10,36,2,6,0.6,30,3.0,0,
9,Zack Moss,BUF,8,21,1,11,1.4,10,1.3,0,
10,Josh Allen,BUF,6,39,2,19,3.2,20,3.3,0,
11,Matt Breida,BUF,1,3,0,1,1.0,2,2.0,0,
