,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Michael Badgley,IND,4,4,1,2,0,0,,0
1,Rigoberto Sanchez,IND,,,,,3,124,41.3,43
4,Cameron Johnston,HOU,,,,,6,302,50.3,60
