,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Sam Martin,DEN,,,,,3,160,53.3,56
1,Brandon McManus,DEN,,,1,1,0,0,,0
4,Harrison Butker,KAN,1,2,3,3,0,0,,0
5,Tommy Townsend,KAN,,,,,4,190,47.5,54
