,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Austin Ekeler,LAC,14,59,2,27,1.9,32,2.3,0,
1,Justin Jackson,LAC,6,15,2,5,0.8,10,1.7,0,
2,Jalen Guyton,LAC,1,-1,0,-1,-1.0,0,0.0,0,
3,Justin Herbert,LAC,1,6,1,6,6.0,0,0.0,0,
5,Joe Mixon,CIN,19,54,3,25,1.3,29,1.5,0,
6,Samaje Perine,CIN,5,36,2,18,3.6,18,3.6,0,
7,Joe Burrow,CIN,1,6,1,6,6.0,0,0.0,0,
