,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Giovani Bernard,TAM,0,0,,0,0,2,7,3.5,0,6
3,Avery Williams,ATL,1,30,30.0,0,30,1,7,7.0,0,7
