,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Tom Brady,TAM,38,51,368,22,43.1,324,6.4,201,5.3,3.9,167,4.4,2,3.9%,8,15.7%,0,16,1,1,2,3.9%,0,
2,Matt Ryan,ATL,30,41,297,14,30.4,250,6.1,152,5.1,3.7,145,4.8,2,5.0%,4,10.0%,5,18,2,6,13,27.7%,1,2.0
