,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Brian Johnson,WAS,2,2,1,1,0,0,,0
1,Tress Way,WAS,,,,,4,197,49.3,54
4,AJ Cole III,LVR,,,,,4,202,50.5,67
5,Daniel Carlson,LVR,,,3,3,0,0,,0
