,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Dede Westbrook,MIN,0,0,,0,0,3,23,7.7,0,16
1,Kene Nwangwu,MIN,2,65,32.5,0,44,0,0,,0,0
4,Kalif Raymond,DET,0,0,,0,0,1,0,0.0,0,0
5,Godwin Igwebuike,DET,1,30,30.0,0,30,0,0,,0,0
