,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Leonard Fournette,TAM,13,44,1,16,1.2,28,2.2,0,
1,Giovani Bernard,TAM,1,3,0,2,2.0,1,1.0,0,
2,Tom Brady,TAM,1,-1,0,-1,-1.0,0,0.0,0,
3,Chris Godwin,TAM,1,9,1,6,6.0,3,3.0,0,
4,Ronald Jones II,TAM,1,2,,1,1.0,1,1.0,0,
6,Cordarrelle Patterson,ATL,13,78,3,31,2.4,47,3.6,1,13.0
7,Mike Davis,ATL,4,32,1,28,7.0,4,1.0,0,
8,Matt Ryan,ATL,3,2,0,1,0.3,1,0.3,0,
9,Qadree Ollison,ATL,2,7,0,1,0.5,6,3.0,0,
10,Olamide Zaccheaus,ATL,1,2,1,0,0.0,2,2.0,0,
