,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,David Montgomery,CHI,13,63,4,39,3.0,24,1.8,0,
1,Justin Fields,CHI,8,45,2,43,5.4,2,0.3,0,
2,Khalil Herbert,CHI,4,13,,4,1.0,9,2.3,0,
3,Darnell Mooney,CHI,1,15,1,15,15.0,0,0.0,0,
5,Najee Harris,PIT,22,62,5,40,1.8,22,1.0,4,5.5
6,Chase Claypool,PIT,2,13,2,9,4.5,4,2.0,0,
7,Diontae Johnson,PIT,2,11,0,11,5.5,0,0.0,0,
8,Ben Roethlisberger,PIT,2,0,0,-1,-0.5,1,0.5,0,
9,Benny Snell Jr.,PIT,2,6,1,5,2.5,1,0.5,0,
10,James Washington,PIT,2,13,0,10,5.0,3,1.5,0,
