,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Rondale Moore,ARI,1,22,22.0,0,22,1,2,2.0,0,2
1,Eno Benjamin,ARI,3,66,22.0,0,29,0,0,,0,0
4,Brandon Aiyuk,SFO,0,0,,0,0,3,34,11.3,0,27
5,Trenton Cannon,SFO,2,45,22.5,0,23,0,0,,0,0
