,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Damien Harris,NWE,15,30,1,14,0.9,16,1.1,2,7.5
1,Rhamondre Stevenson,NWE,10,62,3,37,3.7,25,2.5,2,5.0
2,Brandon Bolden,NWE,8,54,4,29,3.6,25,3.1,1,8.0
3,Brian Hoyer,NWE,3,-3,,-3,-1.0,0,0.0,0,
4,Mac Jones,NWE,2,4,2,4,2.0,0,0.0,0,
5,Jonnu Smith,NWE,1,4,,2,2.0,2,2.0,0,
7,Christian McCaffrey,CAR,14,52,4,28,2.0,24,1.7,0,
8,Sam Darnold,CAR,3,9,0,9,3.0,0,0.0,0,
9,Chuba Hubbard,CAR,3,3,0,0,0.0,3,1.0,0,
10,D.J. Moore,CAR,2,14,1,7,3.5,7,3.5,1,2.0
11,Ameer Abdullah,CAR,1,0,0,0,0.0,0,0.0,0,
