,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Aaron Jones,GNB,12,53,4,27,2.3,26,2.2,0,
1,AJ Dillon,GNB,8,46,2,20,2.5,26,3.3,0,
2,Jordan Love,GNB,5,23,0,20,4.0,3,0.6,0,
4,Darrel Williams,KAN,19,70,4,39,2.1,31,1.6,2,9.5
5,Derrick Gore,KAN,3,13,,10,3.3,3,1.0,0,
6,Patrick Mahomes,KAN,2,-2,0,-2,-1.0,0,0.0,0,
7,Tyreek Hill,KAN,1,-4,0,-4,-4.0,0,0.0,0,
