,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Matt Haack,BUF,,,,,3,148,49.3,59
1,Tyler Bass,BUF,,,2,2,0,0,,0
4,Logan Cooke,JAX,,,,,4,180,45.0,53
5,Matthew Wright,JAX,,,3,4,0,0,,0
