,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Mason Crosby,GNB,1,1,,2,0,0,,0
1,Corey Bojorquez,GNB,,,,,4,217,54.3,63
4,Harrison Butker,KAN,1,1,2,2,0,0,,0
5,Tommy Townsend,KAN,,,,,6,341,56.8,64
