,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Cole Kmet,CHI,8,6,87,0,5,83,13.8,4,0.7,14.5,0,,0,0.0,0,109.9
1,Allen Robinson,CHI,6,4,68,0,2,52,13.0,16,4.0,14.5,0,,0,0.0,0,104.9
2,Darnell Mooney,CHI,6,3,41,1,2,40,13.3,1,0.3,15.5,0,,0,0.0,1,72.2
3,David Montgomery,CHI,2,2,17,0,0,1,0.5,16,8.0,0.5,0,,0,0.0,0,102.1
4,Marquise Goodwin,CHI,4,1,50,0,1,44,44.0,6,6.0,25.5,0,,1,25.0,0,79.2
5,Jimmy Graham,CHI,3,1,28,0,1,24,24.0,4,4.0,14.3,0,,0,0.0,0,68.7
7,Pat Freiermuth,PIT,6,5,43,2,2,23,4.6,20,4.0,4.7,0,,0,0.0,0,136.1
8,Diontae Johnson,PIT,6,5,56,0,3,25,5.0,31,6.2,6.3,0,,0,0.0,0,105.6
9,Chase Claypool,PIT,5,3,30,0,1,22,7.3,8,2.7,7.2,0,,0,0.0,0,77.1
10,Najee Harris,PIT,3,3,16,0,0,-5,-1.7,21,7.0,-1.7,2,1.5,0,0.0,0,88.9
11,Kalen Ballage,PIT,1,1,2,0,,-4,-4.0,6,6.0,-4.0,0,,0,0.0,0,79.2
12,Ray-Ray McCloud,PIT,1,1,12,0,1,2,2.0,10,10.0,2.0,0,,0,0.0,0,116.7
13,Kevin Rader,PIT,1,1,1,0,,-2,-2.0,3,3.0,-2.0,0,,0,0.0,0,79.2
14,James Washington,PIT,3,1,42,0,1,42,42.0,0,0.0,18.3,0,,0,0.0,0,81.9
15,Derek Watt,PIT,1,1,3,0,,-1,-1.0,4,4.0,-1.0,0,,0,0.0,0,79.2
