,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Matt Ammendola,NYJ,3,3,1,1,0,0,,0
1,Thomas Morstead,NYJ,,,,,3,156,52.0,57
4,Michael Badgley,IND,6,6,1,1,0,0,,0
5,Rigoberto Sanchez,IND,,,,,2,85,42.5,47
