,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Adrian Peterson,TEN,10,21,1,6,0.6,15,1.5,0,
1,Jeremy McNichols,TEN,7,24,,16,2.3,8,1.1,0,
2,D'Onta Foreman,TEN,5,29,1,9,1.8,20,4.0,1,5.0
3,Ryan Tannehill,TEN,2,3,2,2,1.0,1,0.5,0,
4,Marcus Johnson,TEN,1,-7,,-7,-7.0,0,0.0,0,
5,Logan Woodside,TEN,1,-1,,-1,-1.0,0,0.0,0,
7,Darrell Henderson,LAR,11,55,2,23,2.1,32,2.9,0,
8,Sony Michel,LAR,7,20,2,11,1.6,9,1.3,0,
9,Matthew Stafford,LAR,2,13,1,11,5.5,2,1.0,0,
10,Robert Woods,LAR,1,6,0,3,3.0,3,3.0,0,
