,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Trevor Lawrence,JAX,28,51,332,13,25.0,412,8.1,191,6.8,3.7,141,5.0,5,10.0%,13,26.0%,1,6,3,3,7,13.5%,0,
2,Tyrod Taylor,HOU,21,33,291,13,38.2,318,9.6,189,9.0,5.7,102,4.9,2,6.3%,7,21.9%,1,11,7,5,13,35.1%,3,13.7
