,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Amari Rodgers,GNB,0,0,,0,0,1,17,17.0,0,17
1,Kylin Hill,GNB,2,29,14.5,0,17,0,0,,0,0
4,Deonte Harris,NOR,0,0,,0,0,1,13,13.0,0,13
