,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,David Montgomery,CHI,16,108,6,27,1.7,81,5.1,2,8.0
1,Damien Williams,CHI,6,12,2,1,0.2,11,1.8,1,6.0
2,Andy Dalton,CHI,2,13,1,13,6.5,0,0.0,0,
3,Justin Fields,CHI,1,3,1,1,1.0,2,2.0,0,
4,Marquise Goodwin,CHI,1,-2,0,-2,-2.0,0,0.0,0,
6,Darrell Henderson,LAR,16,70,4,48,3.0,22,1.4,0,
7,Matthew Stafford,LAR,5,-5,0,-5,-1.0,0,0.0,0,
8,Sony Michel,LAR,1,2,,1,1.0,1,1.0,0,
9,Robert Woods,LAR,1,7,0,3,3.0,4,4.0,0,
