,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Robbie Gould,SFO,5,5,2,3,0,0,,0
1,Mitch Wishnowsky,SFO,,,,,2,76,38.0,43
4,Austin Seibert,DET,2,2,1,2,0,0,,0
5,Jack Fox,DET,,,,,3,152,50.7,57
