,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Myles Gaskin,MIA,9,49,2,25,2.8,24,2.7,1,9.0
1,Malcolm Brown,MIA,5,16,2,6,1.2,10,2.0,0,
2,Tua Tagovailoa,MIA,4,1,1,1,0.3,0,0.0,0,
3,Salvon Ahmed,MIA,3,4,0,-2,-0.7,6,2.0,0,
4,Jacoby Brissett,MIA,2,4,2,0,0.0,4,2.0,0,
6,Damien Harris,NWE,23,100,6,52,2.3,48,2.1,1,23.0
7,James White,NWE,4,12,2,8,2.0,4,1.0,0,
8,Brandon Bolden,NWE,1,5,,1,1.0,4,4.0,1,1.0
9,Jonnu Smith,NWE,1,6,0,2,2.0,4,4.0,0,
10,Rhamondre Stevenson,NWE,1,2,,0,0.0,2,2.0,0,
