,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Elijah Mitchell,SFO,19,104,4,65,3.4,39,2.1,2,9.5
1,Jimmy Garoppolo,SFO,3,2,0,2,0.7,0,0.0,0,
2,Trey Lance,SFO,3,2,0,2,0.7,0,0.0,0,
3,Raheem Mostert,SFO,2,20,1,18,9.0,2,1.0,0,
4,Jamycal Hasty,SFO,1,3,1,2,2.0,1,1.0,0,
6,D'Andre Swift,DET,11,39,2,34,3.1,5,0.5,0,
7,Jamaal Williams,DET,9,54,4,40,4.4,14,1.6,1,9.0
8,Jared Goff,DET,3,14,1,14,4.7,0,0.0,0,
9,Kalif Raymond,DET,1,9,1,9,9.0,0,0.0,0,
