,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Noah Fant,DEN,8,6,62,0,3,37,6.2,25,4.2,6.9,0,,0,0.0,0,96.9
1,Jerry Jeudy,DEN,7,6,72,0,4,64,10.7,8,1.3,11.9,0,,0,0.0,0,109.5
2,Tim Patrick,DEN,4,4,39,1,4,34,8.5,5,1.3,8.5,0,,0,0.0,0,146.9
3,Albert Okwuegbunam,DEN,3,3,16,1,2,2,0.7,14,4.7,0.7,0,,0,0.0,0,128.5
4,Melvin Gordon,DEN,3,3,17,0,0,-2,-0.7,19,6.3,-0.7,0,,0,0.0,0,90.3
5,KJ Hamler,DEN,4,3,41,0,3,37,12.3,4,1.3,21.5,0,,1,25.0,0,107.3
6,Javonte Williams,DEN,1,1,-4,0,0,-8,-8.0,4,4.0,-8.0,0,,0,0.0,0,79.2
7,Courtland Sutton,DEN,3,1,14,0,1,14,14.0,0,0.0,17.0,0,,0,0.0,0,49.3
8,Eric Saubert,DEN,2,1,7,0,,-1,-1.0,8,8.0,0.0,2,0.5,1,50.0,0,58.3
10,Sterling Shepard,NYG,9,7,113,1,6,74,10.6,39,5.6,10.4,1,7.0,0,0.0,0,155.8
11,Kenny Golladay,NYG,6,4,64,0,4,63,15.8,1,0.3,15.0,0,,0,0.0,0,102.1
12,Darius Slayton,NYG,7,3,65,0,2,61,20.3,4,1.3,11.9,0,,2,28.6,0,76.5
13,Kyle Rudolph,NYG,5,2,8,0,,7,3.5,1,0.5,6.8,0,,0,0.0,0,47.9
14,Kadarius Toney,NYG,2,2,-2,0,,-10,-5.0,8,4.0,-5.0,0,,0,0.0,0,79.2
15,Gary Brightwell,NYG,1,1,6,0,,1,1.0,5,5.0,1.0,0,,0,0.0,0,91.7
16,Devontae Booker,NYG,1,1,6,0,,2,2.0,4,4.0,2.0,0,,0,0.0,0,91.7
17,C.J. Board,NYG,1,1,6,0,1,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7
18,Saquon Barkley,NYG,3,1,1,0,0,-6,-6.0,7,7.0,1.7,0,,1,33.3,0,42.4
19,Elijhaa Penny,NYG,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
