,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Braxton Berrios,NYJ,0,0,,0,0,1,15,15.0,0,15
3,Alex Erickson,CAR,0,0,,0,0,3,31,10.3,0,15
4,D.J. Moore,CAR,0,0,,0,0,1,9,9.0,0,9
5,Chuba Hubbard,CAR,1,21,21.0,0,21,0,0,,0,0
6,Tommy Tremble,CAR,1,21,21.0,0,21,0,0,,0,0
