,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jamal Agnew,JAX,0,0,,0,0,2,1,0.5,0,1
3,Andre Roberts,HOU,2,47,23.5,0,24,3,17,5.7,0,9
