,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Justin Tucker,BAL,3,3,2,2,0,0,,0
1,Sam Koch,BAL,,,,,4,179,44.8,49
4,Daniel Carlson,LVR,3,3,2,2,0,0,,0
5,AJ Cole III,LVR,,,,,6,316,52.7,67
