,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Matt Prater,ARI,5,5,1,2,0,0,,0
1,Andy Lee,ARI,,,,,3,144,48.0,58
4,Michael Badgley,TEN,1,2,,1,0,0,,0
5,Brett Kern,TEN,,,,,3,151,50.3,59
