,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Jonathan Taylor,IND,10,64,6,36,3.6,28,2.8,0,
1,Nyheim Hines,IND,6,25,1,23,3.8,2,0.3,0,
2,Ashton Dulin,IND,1,-7,,-7,-7.0,0,0.0,1,1.0
3,Michael Pittman Jr.,IND,1,5,0,5,5.0,0,0.0,0,
5,Derrick Henry,TEN,28,113,7,72,2.6,41,1.5,1,28.0
6,Ryan Tannehill,TEN,5,56,3,53,10.6,3,0.6,0,
7,Jeremy McNichols,TEN,2,6,0,2,1.0,4,2.0,0,
8,A.J. Brown,TEN,1,3,,1,1.0,2,2.0,0,
9,Mekhi Sargent,TEN,1,2,,2,2.0,0,0.0,0,
