,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Mark Andrews,BAL,7,5,109,0,4,75,15.0,34,6.8,17.4,0,,0,0.0,0,113.7
1,Sammy Watkins,BAL,7,4,68,0,2,57,14.3,11,2.8,20.3,0,,0,0.0,0,90.2
2,Marquise Brown,BAL,7,3,53,0,2,40,13.3,13,4.3,23.0,0,,2,28.6,1,29.8
3,Devin Duvernay,BAL,3,2,22,1,1,21,10.5,1,0.5,11.3,0,,0,0.0,0,127.8
4,Josh Oliver,BAL,1,1,6,0,,4,4.0,2,2.0,4.0,0,,0,0.0,0,91.7
5,James Proche,BAL,1,1,29,0,1,29,29.0,0,0.0,29.0,0,,0,0.0,0,118.7
6,Ty'Son Williams,BAL,1,0,0,0,0,0,,0,,18.0,0,,0,0.0,0,39.6
8,D'Andre Swift,DET,7,7,60,0,4,-13,-1.9,73,10.4,-1.9,1,7.0,0,0.0,0,102.4
9,Kalif Raymond,DET,10,6,68,0,4,35,5.8,33,5.5,10.9,0,,0,0.0,0,80.4
10,Darren Fells,DET,3,2,35,0,2,14,7.0,21,10.5,7.3,0,,0,0.0,0,106.2
11,T.J. Hockenson,DET,2,2,10,0,,8,4.0,2,1.0,4.0,0,,0,0.0,0,87.5
12,Jamaal Williams,DET,2,2,25,0,2,-3,-1.5,28,14.0,-1.5,0,,0,0.0,0,118.7
13,Quintez Cephus,DET,1,1,8,0,,4,4.0,4,4.0,4.0,0,,0,0.0,0,100.0
14,KhaDarel Hodge,DET,1,1,9,0,1,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2
15,Amon-Ra St. Brown,DET,1,1,2,0,,-4,-4.0,6,6.0,-4.0,0,,0,0.0,0,79.2
16,Trinity Benson,DET,1,0,0,0,,0,,0,,-2.0,0,,1,100.0,0,39.6
