,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Avery Williams,ATL,0,0,,0,0,3,24,8.0,0,15
1,Cordarrelle Patterson,ATL,2,40,20.0,0,24,0,0,,0,0
2,Keith Smith,ATL,1,10,10.0,0,10,0,0,,0,0
5,Jabrill Peppers,NYG,0,0,,0,0,2,36,18.0,0,19
6,C.J. Board,NYG,1,6,6.0,0,6,0,0,,0,0
