,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Pat O'Donnell,CHI,,,,,7,397,56.7,63
1,Cairo Santos,CHI,,,2,2,0,0,,0
4,Chase McLaughlin,CLE,2,2,4,4,0,0,,0
5,Jamie Gillan,CLE,,,,,2,82,41.0,48
