,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Younghoe Koo,ATL,2,2,1,1,0,0,,0
1,Cameron Nizialek,ATL,,,,,6,284,47.3,58
4,Riley Dixon,NYG,,,,,5,229,45.8,55
5,Graham Gano,NYG,,,2,2,0,0,,0
