,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Jason Sanders,MIA,2,2,2,3,0,0,,0
1,Michael Palardy,MIA,,,,,4,155,38.8,50
4,Daniel Carlson,LVR,2,3,3,3,0,0,,0
5,AJ Cole III,LVR,,,,,4,216,54.0,67
