,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,D.K. Metcalf,SEA,9,6,107,1,6,76,12.7,31,5.2,16.0,1,6.0,0,0.0,0,144.2
1,Gerald Everett,SEA,5,5,54,0,3,17,3.4,37,7.4,3.4,3,1.7,0,0.0,0,111.7
2,Tyler Lockett,SEA,4,4,31,0,1,13,3.3,18,4.5,3.3,0,,0,0.0,0,99.0
3,Travis Homer,SEA,3,3,48,0,2,-2,-0.7,50,16.7,-0.7,1,3.0,0,0.0,0,118.7
4,Chris Carson,SEA,2,2,2,0,0,-5,-2.5,7,3.5,-2.5,0,,0,0.0,0,79.2
5,Will Dissly,SEA,1,1,39,0,1,9,9.0,30,30.0,9.0,1,1.0,0,0.0,0,118.7
6,Penny Hart,SEA,2,1,7,0,,-4,-4.0,11,11.0,19.5,0,,0,0.0,0,58.3
7,Freddie Swain,SEA,2,1,10,0,1,8,8.0,2,2.0,10.0,0,,0,0.0,0,64.6
9,Justin Jefferson,MIN,11,9,118,1,8,73,8.1,45,5.0,7.7,0,,1,9.1,0,141.7
10,Tyler Conklin,MIN,8,7,70,1,4,38,5.4,32,4.6,4.5,0,,0,0.0,0,142.7
11,Alexander Mattison,MIN,8,6,59,0,2,-5,-0.8,64,10.7,-0.3,1,6.0,0,0.0,0,95.3
12,Adam Thielen,MIN,9,6,50,1,4,37,6.2,13,2.2,6.6,0,,0,0.0,0,117.8
13,K.J. Osborn,MIN,2,2,26,0,2,11,5.5,15,7.5,5.5,0,,0,0.0,0,118.7
