,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jakeem Grant,MIA,1,15,15.0,0,15,3,27,9.0,0,12
3,Hunter Renfrow,LVR,0,0,,0,0,2,9,4.5,0,7
4,Henry Ruggs III,LVR,1,15,15.0,0,15,0,0,,0,0
