,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Deonte Harris,NOR,1,16,16.0,0,16,1,25,25.0,0,25
3,Gunner Olszewski,NWE,0,0,,0,0,3,30,10.0,0,18
