,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Zane Gonzalez,CAR,3,3,1,1,0,0,,0
1,Joseph Charlton,CAR,,,,,3,111,37.0,42
4,Joey Slye,HOU,,1,1,1,0,0,,0
5,Cameron Johnston,HOU,,,,,6,267,44.5,53
