,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Austin Ekeler,LAC,11,55,2,34,3.1,21,1.9,0,
1,Justin Herbert,LAC,4,16,1,15,3.8,1,0.3,0,
2,Larry Rountree,LAC,4,3,,2,0.5,1,0.3,0,
3,Justin Jackson,LAC,2,0,,0,0.0,0,0.0,0,
4,Jalen Guyton,LAC,1,3,,2,2.0,1,1.0,0,
6,Clyde Edwards-Helaire,KAN,17,100,5,68,4.0,32,1.9,0,
7,Darrel Williams,KAN,7,28,3,22,3.1,6,0.9,0,
8,Patrick Mahomes,KAN,4,45,3,44,11.0,1,0.3,0,
9,Mecole Hardman,KAN,1,2,0,2,2.0,0,0.0,0,
10,Tyreek Hill,KAN,1,11,1,11,11.0,0,0.0,0,
