,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,David Montgomery,CHI,4,2,21,0,1,-3,-1.5,24,12.0,0.8,0,,0,0.0,0,65.6
1,Allen Robinson,CHI,6,2,27,0,1,10,5.0,17,8.5,6.5,0,,0,0.0,0,48.6
2,Cole Kmet,CHI,4,1,11,0,,6,6.0,5,5.0,6.0,0,,0,0.0,0,39.6
3,Darnell Mooney,CHI,4,1,9,0,,7,7.0,2,2.0,7.3,0,,0,0.0,0,39.6
4,Marquise Goodwin,CHI,1,0,0,0,,0,,0,,14.0,0,,0,0.0,0,39.6
5,Jimmy Graham,CHI,1,0,0,0,,0,,0,,-4.0,0,,0,0.0,0,39.6
7,Kareem Hunt,CLE,7,6,74,0,4,-4,-0.7,78,13.0,-0.9,0,,0,0.0,0,110.7
8,Odell Beckham Jr.,CLE,9,5,77,0,4,73,14.6,4,0.8,16.6,0,,0,0.0,0,84.0
9,Demetric Felton,CLE,3,2,13,0,1,-2,-1.0,15,7.5,6.7,0,,0,0.0,0,75.7
10,Rashard Higgins,CLE,2,2,24,0,1,19,9.5,5,2.5,9.5,0,,0,0.0,0,116.7
11,Austin Hooper,CLE,3,2,19,1,1,19,9.5,0,0.0,7.7,0,,0,0.0,0,123.6
12,Donovan Peoples-Jones,CLE,2,2,39,0,2,39,19.5,0,0.0,19.5,0,,0,0.0,0,118.7
13,Harrison Bryant,CLE,2,0,0,0,,0,,0,,23.0,0,,0,0.0,0,39.6
14,Anthony Schwartz,CLE,1,0,0,0,,0,,0,,13.0,0,,0,0.0,0,39.6
