,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Rondale Moore,ARI,0,0,,0,0,2,27,13.5,0,27
3,Jamal Agnew,JAX,1,18,18.0,0,18,1,10,10.0,0,10
