,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Ryan Succop,TAM,3,3,1,2,0,0,,0
1,Bradley Pinion,TAM,,,,,4,145,36.3,53
4,Matt Gay,LAR,4,4,2,2,0,0,,0
5,Johnny Hekker,LAR,,,,,3,119,39.7,51
