,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Tre'Quan Smith,NOR,7,5,76,1,4,40,8.0,36,7.2,8.0,0,,0,0.0,0,146.4
1,Deonte Harris,NOR,4,3,24,0,1,16,5.3,8,2.7,13.0,0,,0,0.0,0,89.6
2,Alvin Kamara,NOR,2,2,16,0,0,-12,-6.0,28,14.0,-6.0,0,,0,0.0,0,100.0
3,Nick Vannett,NOR,1,1,10,0,1,-5,-5.0,15,15.0,-5.0,1,1.0,0,0.0,0,108.3
4,Adam Trautman,NOR,1,1,18,1,1,14,14.0,4,4.0,14.0,0,,0,0.0,0,158.3
5,Lil'Jordan Humphrey,NOR,1,1,26,0,1,17,17.0,9,9.0,17.0,0,,0,0.0,0,118.7
6,Adam Prentice,NOR,1,1,2,0,0,0,0.0,2,2.0,0.0,0,,0,0.0,0,79.2
7,Juwan Johnson,NOR,2,1,5,1,1,5,5.0,0,0.0,10.0,0,,0,0.0,0,95.8
8,Ty Montgomery,NOR,2,1,1,0,,1,1.0,0,0.0,12.5,0,,0,0.0,0,56.2
9,Marquez Callaway,NOR,1,0,0,0,,0,,0,,16.0,0,,0,0.0,0,39.6
10,Tony Jones,NOR,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6
12,Russell Gage,ATL,13,9,126,1,6,87,9.7,39,4.3,15.6,1,9.0,0,0.0,1,93.7
13,Mike Davis,ATL,3,3,-2,0,0,-8,-2.7,6,2.0,-2.7,0,,0,0.0,0,79.2
14,Olamide Zaccheaus,ATL,3,3,47,0,2,39,13.0,8,2.7,13.0,0,,0,0.0,0,118.7
15,Kyle Pitts,ATL,5,2,8,0,,3,1.5,5,2.5,7.6,0,,1,20.0,0,47.9
16,Cordarrelle Patterson,ATL,1,1,1,0,0,-4,-4.0,5,5.0,-4.0,0,,0,0.0,0,79.2
17,Hayden Hurst,ATL,1,1,33,0,1,33,33.0,0,0.0,33.0,0,,0,0.0,0,118.7
18,Keith Smith,ATL,1,1,3,0,,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2
19,Qadree Ollison,ATL,1,0,0,0,0,0,,0,,-2.0,0,,0,0.0,0,39.6
20,Tajae Sharpe,ATL,2,0,0,0,,0,,0,,15.5,0,,0,0.0,0,39.6
21,Christian Blake,ATL,1,0,0,0,,0,,0,,-7.0,0,,0,0.0,0,39.6
