,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Pat O'Donnell,CHI,,,,,1,43,43.0,43
1,Cairo Santos,CHI,,,3,3,0,0,,0
4,Greg Joseph,MIN,4,4,1,1,0,0,,0
5,Jordan Berry,MIN,,,,,6,272,45.3,57
