,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Joey Slye,WAS,1,1,3,3,0,0,,0
1,Tress Way,WAS,,,,,6,245,40.8,56
4,Graham Gano,NYG,1,1,,,0,0,,0
5,Riley Dixon,NYG,,,,,6,306,51.0,56
