,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Chuba Hubbard,CAR,9,48,3,21,2.3,27,3.0,1,9.0
1,Sam Darnold,CAR,8,19,0,19,2.4,0,0.0,0,
2,Ameer Abdullah,CAR,7,26,2,11,1.6,15,2.1,1,7.0
3,D.J. Moore,CAR,1,13,1,4,4.0,9,9.0,0,
4,Tommy Tremble,CAR,1,4,,2,2.0,2,2.0,0,
6,Ke'Shawn Vaughn,TAM,10,29,3,16,1.6,13,1.3,0,
7,Kenjon Barner,TAM,4,0,,0,0.0,0,0.0,0,
8,Le'Veon Bell,TAM,3,14,1,10,3.3,4,1.3,0,
9,Scott Miller,TAM,2,43,2,43,21.5,0,0.0,0,
10,Blaine Gabbert,TAM,1,-1,,-1,-1.0,0,0.0,0,
