,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Chris Boswell,PIT,1,1,3,3,0,0,,0
1,Pressley Harvin III,PIT,,,,,8,298,37.3,49
4,Justin Tucker,BAL,1,1,2,2,0,0,,0
5,Sam Koch,BAL,,,,,7,268,38.3,50
