,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Dazz Newsome,CHI,0,0,,0,0,4,47,11.8,0,17
1,Khalil Herbert,CHI,1,36,36.0,0,36,0,0,,0,0
4,Kene Nwangwu,MIN,2,38,19.0,0,24,0,0,,0,0
